1 2 16 10	45905841
1 22 24 27 20	58128038
1 2 16 12	46819741
18 19	49153288
0 19	56937744
24 26 20	60714277
1 2 5 4	59465060
18 25	55417824
18 13 27	56373657
18 26	57767797
18 2 16 15	48209713
18 27	37596310
18 22	43394728
18 2 16 19	57118919
18 24	41757115
18 13 20	56658866
18 2 16 10	58976469
18 20	37946216
18 2 16 13	56399390
18 2 16 12	59968140
1 2 16 21	58978973
1 2 16 20	30778429
1 2 16 23	58115274
1 18 2 22 27	56175596
1 18 2 22 24	59096915
1 18 2 22 20	56213487
0	37552405
1	5727818
18 2 24 20 15	60613787
2	1892139
18 2 16 27	46914838
4	26132745
1 16 25 20	57174286
5	38231291
6	27361583
7	38697562
18 2 16 20	47215567
1 7 19	61081899
1 2 16 19	42906307
18 2 16 24	50724231
1 2 16 13	41899391
1 2 16 15	32449991
2 22 16 27 20	51802721
1 18 2 16 4	58328862
1 2 16 25	50372389
1 2 16 24	34958803
1 2 16 27	30589886
1 2 16 26	53159631
2 22 16 27 19	61073576
2 22 16 27 15	53443102
2 22 24 4	56182030
24 26 27	60538759
18 15	39055846
18 16	36634902
18 13 15	57095289
18 10	51126788
1 10 4	53779602
18 12	52315092
18 13	48207746
1 18 2 12	56600749
2 22 15 0	61222262
1 18 2 13	52203091
1 18 2 16	41759341
1 18 2 15	44135276
18 2 0	56697565
18 2 4	48098224
2 22 15 4	54137241
1 18 2 10	55570737
18 2 5	57527295
2 16 24 27 4	57849017
1 16 13 19	59016605
18 2 7	57275707
2 27 20 15 4	56874664
1 16 13 15	50837897
1 2 16 20 15 19	60779302
16 25 4	60755430
16 24 13 27	58006114
1 18 2 0	59627298
1 18 2 7	60418324
1 18 2 4	51471996
1 18 2 5	60511582
6 27 4	55116068
2 16 27 15 19	57325343
24 27 20 10	61184661
24 27 20 19	59383079
2 22 15 19	55897481
2 24 20 15 4	59938115
24 27 20 15	51525781
1 16 25 15	58234933
2 16 10 19	59966213
16 24 13 20	58192811
2 22 15 12	58872872
1 2 24 20 4	54243156
2 22 15 10	57927099
2 16 27 15 10	59611415
1 2 16 24 13 27	61507456
2 16 27 15 12	60572995
24 27 15 19	60275587
1 18 2 22	47874596
1 18 2 25	59591922
1 18 2 24	46645029
1 18 2 27	42797037
1 18 2 26	61493613
16 24 13 15	58977346
1 18 2 20	43139297
1 5 20 15	59696045
2 16 26 15	59515537
1 18 2 19	53637162
1 16 13 20	49945930
1 16 13 27	49745237
2 13 15 4	57641512
2 24 20 15	43628780
16 12 4	58674069
26 27 15	59183754
2 24 21	59731886
2 24 20	32134300
2 24 20 12	56518506
2 24 20 10	54862729
1 25 20	50084013
6 1 16 4	57641799
2 24 20 19	53082540
2 24 20 4	50929610
6 24 27 15	59843796
1 0 4	57806287
2 24 20 7	60421321
2 24 25	51391959
16 5 15	56041884
2 24 23	58470595
26 27 20	57363513
2 24 27	32020134
2 24 26	54158319
1 13 27	41790726
15 0	48091212
1 13 25	58419131
2 24 10	46886912
1 13 26	60881130
1 2 24 23	61269313
1 2 24 27	36230707
15 7	49995825
6 2 22 27 20	60860997
1 2 24 25	54823205
1 2 24 26	57059231
15 4	38636646
2 24 19	44080828
1 2 25 20 15	60163815
16 5 20	54731148
2 24 13	43224897
2 24 12	48324605
1 13 20	42030243
2 24 15	33677667
1 24 27 15	46367821
1 13 19	52149475
1 24 27 19	54484543
1 13 15	43033183
2 12 19	54227629
1 13 12	55731981
1 16 5 15	58992430
2 16 24 20 19	59731777
1 2 26 4	61002458
1 13 10	54940885
1 13 27 4	58664182
2 24 27 15 4	60384580
1 24 27 10	57326175
2 16 24 20 15	51038621
1 24 27 12	58644318
2 16 24 20 10	61327556
1 2 22 15 4	57171572
1 16 5 20	57851234
6 13 20	56534560
6 13 27	56290635
1 2 16 13 20 15	59706629
6 24 27 20	58294214
1 24 27 20	44834485
1 24 27 25	61148308
4 19	48374420
6 13 15	57796583
1 24 15 10	58277302
2 22 16 20 4	59296121
1 24 15 12	59616154
1 2 16 20 15	42410523
1 24 15 19	55917537
1 2 16 20 19	51969371
6 22 16	52378539
6 22 15	54236043
1 2 16 20 10	53908494
6 22 13	61169508
1 2 16 20 12	55060236
1 2 13 0	59032349
1 2 12 19	57442282
6 22 20	52483634
6 22 27	52448707
1 2 13 5	60450437
6 22 24	55984610
1 2 13 7	61060504
1 2 13 4	51428460
24 5	50553161
24 4	41140248
1 18 2 22 15	57060278
18 2 24 27 20	59733114
2 15 4 19	58662157
1 18 2 22 16	55336644
1 2 24 19	47620682
24 0	49917107
1 2 24 12	51791674
18 2 24 19	61228435
